Date,0
2021-01-01,3.7418861354747666e-05
2021-01-02,3.590704908431323e-05
2021-01-03,2.8208487084103335e-05
2021-01-04,3.3441276184985276e-05
2021-01-05,3.588799929722121e-05
2021-01-06,5.114709958420722e-05
2021-01-07,3.383253495972286e-05
2021-01-08,3.223776264990744e-05
2021-01-09,2.3810407833372773e-05
2021-01-10,2.6334091980866133e-05
2021-01-11,3.381911478375966e-05
2021-01-12,3.745924454144481e-05
2021-01-13,2.488135454225929e-05
2021-01-14,2.845794556095864e-05
2021-01-15,2.976043234482958e-05
2021-01-16,3.581577678917578e-05
2021-01-17,4.747677864064469e-05
2021-01-18,6.869595179867317e-05
2021-01-19,4.743569967699481e-05
2021-01-20,5.158763028902288e-05
2021-01-21,4.777768264437518e-05
2021-01-22,4.769515759865464e-05
2021-01-23,5.5447967774197565e-05
2021-01-24,6.509423873651863e-05
2021-01-25,6.797456666305614e-05
2021-01-26,6.906464164981248e-05
2021-01-27,7.81535094299688e-05
2021-01-28,8.368273083720864e-05
2021-01-29,9.676507554849868e-05
2021-01-30,0.00010989181650831342
2021-01-31,0.00012579172913582807
2021-02-01,0.00014585998867952082
2021-02-02,0.00014779875170057465
2021-02-03,0.00013511985025852036
2021-02-04,0.0001396292105200663
2021-02-05,0.00015706370112561474
2021-02-06,0.00014805613194318056
2021-02-07,0.0001366411432437329
2021-02-08,0.00012771667299140799
2021-02-09,0.0001209022159985756
2021-02-10,0.00011576410697818212
2021-02-11,0.0001247681857415942
2021-02-12,0.00011473950116028509
2021-02-13,0.0001095070001868615
2021-02-14,0.00011332334522299568
2021-02-15,0.00010953932858579857
2021-02-16,0.00010983941331965972
2021-02-17,0.00010472647659012151
2021-02-18,8.679077896112359e-05
2021-02-19,8.976855568553541e-05
2021-02-20,7.994876083575143e-05
2021-02-21,9.130691747082492e-05
2021-02-22,9.294868948128971e-05
2021-02-23,9.905130659899035e-05
2021-02-24,7.560274279389808e-05
2021-02-25,7.207102301784167e-05
2021-02-26,7.277514807286402e-05
2021-02-27,9.14974945561142e-05
2021-02-28,9.436872136457387e-05
2021-03-01,9.202374676469065e-05
2021-03-02,7.830903982742812e-05
2021-03-03,7.831386172178775e-05
2021-03-04,7.832460864818889e-05
2021-03-05,7.913932997571686e-05
2021-03-06,8.024034896383937e-05
2021-03-07,9.067476669874851e-05
2021-03-08,7.854217572720162e-05
2021-03-09,8.174868804209977e-05
2021-03-10,7.425888697055221e-05
2021-03-11,6.818780745162033e-05
2021-03-12,7.14534106372235e-05
2021-03-13,7.187944437950434e-05
2021-03-14,6.253885815570674e-05
2021-03-15,6.0321042880487065e-05
2021-03-16,6.619194189078437e-05
2021-03-17,7.703058567711958e-05
2021-03-18,8.717795486522501e-05
2021-03-19,9.114582012048778e-05
2021-03-20,8.561129041751316e-05
2021-03-21,8.149386835401352e-05
2021-03-22,7.462529187651033e-05
2021-03-23,7.515940083950576e-05
2021-03-24,7.71133781445236e-05
2021-03-25,7.695901602051848e-05
2021-03-26,6.809227848723975e-05
2021-03-27,6.879896151786304e-05
2021-03-28,6.895638961223886e-05
2021-03-29,7.134927861896051e-05
2021-03-30,7.959826579985914e-05
2021-03-31,8.761147810458144e-05
2021-04-01,7.672232735466412e-05
2021-04-02,7.59420605421336e-05
2021-04-03,7.225521153475954e-05
2021-04-04,6.997311025088098e-05
2021-04-05,7.805617470146041e-05
2021-04-06,9.259437830755187e-05
2021-04-07,8.727412487095275e-05
2021-04-08,9.452766890157565e-05
2021-04-09,0.00010332346177814834
2021-04-10,0.00010514813054565017
2021-04-11,9.87060082081042e-05
2021-04-12,0.00010496157439374605
2021-04-13,9.656059879341307e-05
2021-04-14,9.088383626859774e-05
2021-04-15,8.666009024135738e-05
2021-04-16,9.153033928592565e-05
2021-04-17,9.629198858508443e-05
2021-04-18,0.00010900316989833845
2021-04-19,9.683589036704638e-05
2021-04-20,8.636222707781896e-05
2021-04-21,8.576069977145119e-05
2021-04-22,9.033281043462891e-05
2021-04-23,9.00235489962134e-05
2021-04-24,9.319949753410236e-05
2021-04-25,8.401012868036854e-05
2021-04-26,8.376566414343404e-05
2021-04-27,7.84827422062436e-05
2021-04-28,8.610487386740989e-05
2021-04-29,0.00010105179150134434
2021-04-30,0.00010250985001296289
2021-05-01,9.870947748272603e-05
2021-05-02,9.50924627746089e-05
2021-05-03,9.29141805291202e-05
2021-05-04,9.833511957798959e-05
2021-05-05,9.91157733257847e-05
2021-05-06,0.00011082542436982435
2021-05-07,0.00012025796440056487
2021-05-08,0.00011909282844693198
2021-05-09,0.00012249324947505625
2021-05-10,0.00011886275534046796
2021-05-11,0.00011428912280521783
2021-05-12,0.00011514549589886904
2021-05-13,0.00011397102031719397
2021-05-14,0.0001119145710885223
2021-05-15,0.00011404462715153448
2021-05-16,0.00010963027072219066
2021-05-17,0.00011149407964015645
2021-05-18,0.00011642328965610081
2021-05-19,0.00012445498225083508
2021-05-20,9.931477187096256e-05
2021-05-21,8.580031013102522e-05
2021-05-22,7.889791342505947e-05
2021-05-23,7.554681990988746e-05
2021-05-24,6.731036340841772e-05
2021-05-25,7.307103475554422e-05
2021-05-26,7.371869273025345e-05
2021-05-27,8.247919331515122e-05
2021-05-28,8.083720160248487e-05
2021-05-29,7.807140594972424e-05
2021-05-30,8.296540629696548e-05
2021-05-31,7.818897609995622e-05
2021-06-01,9.122784340431243e-05
2021-06-02,8.209799622717741e-05
2021-06-03,8.295085157884876e-05
2021-06-04,8.968964092464471e-05
2021-06-05,9.219193763982132e-05
2021-06-06,0.00010049808362711696
2021-06-07,0.00010839482898942548
2021-06-08,0.00010035437525495246
2021-06-09,9.031940135536337e-05
2021-06-10,8.652734520257833e-05
2021-06-11,9.156364260420618e-05
2021-06-12,7.521407198952979e-05
2021-06-13,8.14164262121488e-05
2021-06-14,7.502514162420732e-05
2021-06-15,8.212701727076667e-05
2021-06-16,9.239243305161024e-05
2021-06-17,9.562946147075186e-05
2021-06-18,8.947075998276614e-05
2021-06-19,8.741779500773111e-05
2021-06-20,8.239972009023541e-05
2021-06-21,8.873209887199729e-05
2021-06-22,8.5635199025273e-05
2021-06-23,8.315675215496108e-05
2021-06-24,7.913094608108856e-05
2021-06-25,8.305092444152275e-05
2021-06-26,7.559069975679465e-05
2021-06-27,6.717369778403773e-05
2021-06-28,7.108250381555963e-05
2021-06-29,7.226663821752252e-05
2021-06-30,6.977256616603138e-05
2021-07-01,7.011912031080839e-05
2021-07-02,6.896417543068861e-05
2021-07-03,6.387181646938621e-05
2021-07-04,6.910677707574504e-05
2021-07-05,7.866637572313183e-05
2021-07-06,7.590302626127887e-05
2021-07-07,8.487106721105831e-05
2021-07-08,8.301837655204491e-05
2021-07-09,7.260896218187598e-05
2021-07-10,7.503865433447387e-05
2021-07-11,7.513508388393176e-05
2021-07-12,7.318098852021095e-05
2021-07-13,7.141542999599041e-05
2021-07-14,6.96985703494126e-05
2021-07-15,6.418643301408044e-05
2021-07-16,6.516892613502205e-05
2021-07-17,6.969701765503722e-05
2021-07-18,6.720295364309435e-05
2021-07-19,6.6402491510244e-05
2021-07-20,5.95970333181865e-05
2021-07-21,5.348753205099755e-05
2021-07-22,5.471259505602516e-05
2021-07-23,6.172632598921746e-05
2021-07-24,6.191310457848571e-05
2021-07-25,5.8058896605178406e-05
2021-07-26,5.63464319779601e-05
2021-07-27,5.170284556428298e-05
2021-07-28,5.2921204761750955e-05
2021-07-29,6.030886869674982e-05
2021-07-30,5.947379607731687e-05
2021-07-31,5.6989249748683295e-05
2021-08-01,5.7921360104781406e-05
2021-08-02,5.45635006345594e-05
2021-08-03,5.7287889757305765e-05
2021-08-04,5.764861013545026e-05
2021-08-05,5.771302613742215e-05
2021-08-06,5.722152620704483e-05
2021-08-07,5.726018856695918e-05
2021-08-08,5.494472202854594e-05
2021-08-09,5.402119134356928e-05
2021-08-10,6.397163370014539e-05
2021-08-11,6.45892228363239e-05
2021-08-12,6.684623702014043e-05
2021-08-13,6.503104593346582e-05
2021-08-14,6.17303250904635e-05
2021-08-15,6.353997407192202e-05
2021-08-16,6.451835162152356e-05
2021-08-17,6.512442130474684e-05
2021-08-18,6.675459914072272e-05
2021-08-19,6.846994390848437e-05
2021-08-20,6.764215547672836e-05
2021-08-21,6.791144654266106e-05
2021-08-22,7.355625289890895e-05
2021-08-23,7.309476651045452e-05
2021-08-24,7.183556237925352e-05
2021-08-25,6.727435647316844e-05
2021-08-26,6.312002753258066e-05
2021-08-27,6.140996678258375e-05
2021-08-28,6.461658713334497e-05
2021-08-29,6.626085983354291e-05
2021-08-30,6.351671142584756e-05
2021-08-31,6.356425481843976e-05
2021-09-01,5.9379003600850895e-05
2021-09-02,6.469750620154701e-05
2021-09-03,7.157710882447635e-05
2021-09-04,7.504700286274636e-05
2021-09-05,7.59095732111314e-05
2021-09-06,7.670856550496652e-05
2021-09-07,6.994937689164764e-05
2021-09-08,6.374618730823867e-05
2021-09-09,6.323879906754571e-05
2021-09-10,6.394716988012078e-05
2021-09-11,6.27886142894805e-05
2021-09-12,6.378592130106247e-05
2021-09-13,6.0436026821420656e-05
2021-09-14,5.9914218770849915e-05
2021-09-15,6.784986242484272e-05
2021-09-16,7.16453062762171e-05
2021-09-17,7.191229878746043e-05
2021-09-18,6.874816291783054e-05
2021-09-19,6.361114505565416e-05
2021-09-20,6.309062650653202e-05
2021-09-21,6.060977143900834e-05
2021-09-22,5.641272361437668e-05
2021-09-23,5.833437604157818e-05
2021-09-24,6.0738488603678005e-05
2021-09-25,5.5597405291115084e-05
2021-09-26,5.5365587278903916e-05
2021-09-27,6.3714419497027e-05
2021-09-28,6.346237881289942e-05
2021-09-29,6.0050495191972296e-05
2021-09-30,6.184401168222698e-05
2021-10-01,5.717341498633356e-05
2021-10-02,6.001776666478178e-05
2021-10-03,6.322782262624988e-05
2021-10-04,6.353650978203489e-05
2021-10-05,6.30965232109122e-05
2021-10-06,6.254458193565016e-05
2021-10-07,5.393886915630361e-05
2021-10-08,5.5349334765861e-05
2021-10-09,5.975380462004521e-05
2021-10-10,6.107600954913661e-05
2021-10-11,5.721745315463538e-05
2021-10-12,5.303237303093307e-05
2021-10-13,5.07866567484239e-05
2021-10-14,5.139523422254552e-05
2021-10-15,5.661933455297746e-05
2021-10-16,5.298449835850321e-05
2021-10-17,5.136547488090626e-05
2021-10-18,5.3591201831673874e-05
2021-10-19,5.268876172966382e-05
2021-10-20,5.4883404894068004e-05
2021-10-21,6.291202963947039e-05
2021-10-22,6.794798986703914e-05
2021-10-23,6.875341718795773e-05
2021-10-24,6.851757420420597e-05
2021-10-25,6.326096790653617e-05
2021-10-26,6.526537991461663e-05
2021-10-27,6.40076093908253e-05
2021-10-28,9.166041929157836e-05
2021-10-29,8.664958120943627e-05
2021-10-30,8.093501816214549e-05
2021-10-31,7.552563890848008e-05
2021-11-01,7.36223633605397e-05
2021-11-02,7.588387348406354e-05
2021-11-03,7.542204644417053e-05
2021-11-04,7.341254645589347e-05
2021-11-05,7.542645640361524e-05
2021-11-06,7.316114084525697e-05
2021-11-07,7.3275454610875e-05
2021-11-08,7.4979421567451e-05
2021-11-09,6.549603523885098e-05
2021-11-10,6.575712404450725e-05
2021-11-11,6.149268706971304e-05
2021-11-12,6.362145361788492e-05
2021-11-13,6.336525513418646e-05
2021-11-14,6.617304006645947e-05
2021-11-15,6.676163335040754e-05
2021-11-16,6.848534739513243e-05
2021-11-17,6.623786388854063e-05
2021-11-18,6.570803763605023e-05
2021-11-19,6.411393574831981e-05
2021-11-20,6.80993560470502e-05
2021-11-21,6.33225572824701e-05
2021-11-22,6.629716897427223e-05
2021-11-23,6.64427057968486e-05
2021-11-24,6.765235091334455e-05
2021-11-25,6.840619629770052e-05
2021-11-26,7.141790538529378e-05
2021-11-27,7.022008552344338e-05
2021-11-28,7.020138959325332e-05
2021-11-29,6.683121413150621e-05
2021-11-30,6.556076750031339e-05
2021-12-01,6.471158404557254e-05
2021-12-02,6.567970027520102e-05
2021-12-03,5.931953053366093e-05
2021-12-04,5.736059703388348e-05
2021-12-05,5.388078071335143e-05
2021-12-06,5.117167485033153e-05
2021-12-07,5.096945806437878e-05
2021-12-08,5.13173107931394e-05
2021-12-09,5.4804942923310584e-05
2021-12-10,5.4254279395134116e-05
2021-12-11,5.501259731819951e-05
2021-12-12,5.2586034098293566e-05
2021-12-13,5.3095505401424296e-05
2021-12-14,5.2189198536667966e-05
2021-12-15,4.9681074196838914e-05
2021-12-16,5.0002843896198656e-05
2021-12-17,5.230749809966023e-05
2021-12-18,5.06550854363082e-05
2021-12-19,5.1439177303326135e-05
2021-12-20,5.0818299918011e-05
2021-12-21,5.13255412361569e-05
2021-12-22,5.1478981435540656e-05
2021-12-23,5.3023208702008634e-05
2021-12-24,5.5034911555596836e-05
2021-12-25,5.6392269835150106e-05
2021-12-26,5.563795211843884e-05
2021-12-27,5.206854954540533e-05
2021-12-28,5.313485138494786e-05
2021-12-29,5.223317636367743e-05
2021-12-30,5.033577911607842e-05
2021-12-31,5.0597127948551456e-05
2022-01-01,5.0609829203151864e-05
2022-01-02,5.269794390964347e-05
2022-01-03,5.525631679071251e-05
2022-01-04,5.763504667764563e-05
2022-01-05,5.451819645503189e-05
2022-01-06,5.552048585787401e-05
2022-01-07,5.573618258345743e-05
2022-01-08,5.1237895221594416e-05
2022-01-09,4.940900947463056e-05
2022-01-10,4.969974921746948e-05
2022-01-11,4.813096235637868e-05
2022-01-12,4.841726460720762e-05
2022-01-13,4.9828211879000494e-05
2022-01-14,5.4030600561982865e-05
2022-01-15,5.6303235599492755e-05
2022-01-16,5.773110108870633e-05
2022-01-17,5.6835695028079733e-05
2022-01-18,5.5971026338528e-05
2022-01-19,5.3504109708538716e-05
2022-01-20,4.9319335993123006e-05
2022-01-21,4.839744992767775e-05
2022-01-22,4.862175388504244e-05
2022-01-23,4.5258174761329925e-05
2022-01-24,4.4971678785796926e-05
2022-01-25,4.3007414550027616e-05
2022-01-26,4.2404406598574765e-05
2022-01-27,4.473303776867972e-05
2022-01-28,4.5013481572093676e-05
2022-01-29,4.3433124468140183e-05
2022-01-30,4.630397863004817e-05
2022-01-31,4.51165363493841e-05
2022-02-01,4.2774254673157855e-05
2022-02-02,4.244229472175945e-05
2022-02-03,4.169631668324016e-05
2022-02-04,4.306758716032413e-05
2022-02-05,4.0867902610238925e-05
2022-02-06,4.2351114372370456e-05
2022-02-07,4.3257106051087795e-05
2022-02-08,4.472163600822471e-05
2022-02-09,4.470257004428472e-05
2022-02-10,4.350118327691457e-05
2022-02-11,4.3147043584543606e-05
2022-02-12,4.193995845279316e-05
2022-02-13,3.947796440901498e-05
2022-02-14,3.807295654190568e-05
2022-02-15,3.746601054296456e-05
2022-02-16,3.8517908012356355e-05
2022-02-17,3.9170114198402775e-05
2022-02-18,4.0151676006298325e-05
2022-02-19,3.9370903652763204e-05
2022-02-20,3.97351055139873e-05
2022-02-21,4.0935656115383744e-05
2022-02-22,3.748897511878761e-05
2022-02-23,3.843451881505223e-05
2022-02-24,3.842503572134994e-05
2022-02-25,3.489492749763407e-05
2022-02-26,3.546615962377088e-05
2022-02-27,3.4509890243877203e-05
2022-02-28,3.489362597323863e-05
2022-03-01,3.3315602594706205e-05
2022-03-02,3.3241512253793625e-05
2022-03-03,3.345425594158958e-05
2022-03-04,3.378909595751221e-05
2022-03-05,3.599560279669507e-05
2022-03-06,3.498978049228656e-05
2022-03-07,3.521248503034269e-05
2022-03-08,3.459176389969358e-05
2022-03-09,3.363139023395531e-05
2022-03-10,3.179361736246712e-05
2022-03-11,3.2404246338683444e-05
2022-03-12,3.217304735579948e-05
2022-03-13,3.250107249227018e-05
2022-03-14,3.350191747186493e-05
2022-03-15,3.327549282092739e-05
2022-03-16,3.432297322277978e-05
2022-03-17,3.774627447652369e-05
2022-03-18,3.696063852278006e-05
2022-03-19,3.9079356351193735e-05
2022-03-20,3.982251173812751e-05
2022-03-21,3.8323369903698674e-05
2022-03-22,3.7016359792411995e-05
2022-03-23,3.4813851549969875e-05
2022-03-24,3.565681256415609e-05
2022-03-25,3.553213149280016e-05
2022-03-26,3.463711842609757e-05
2022-03-27,3.603475267653441e-05
2022-03-28,3.745319036551245e-05
2022-03-29,3.79597788097856e-05
2022-03-30,3.865337233411463e-05
2022-03-31,4.003427473508565e-05
2022-04-01,4.0146745304718066e-05
2022-04-02,4.098899786274593e-05
2022-04-03,4.146258968630553e-05
2022-04-04,4.117724305957688e-05
2022-04-05,3.945522476690119e-05
2022-04-06,3.888400136515768e-05
2022-04-07,3.696424085228003e-05
2022-04-08,3.779798127399592e-05
2022-04-09,3.762226480365012e-05
2022-04-10,3.996278224168194e-05
2022-04-11,3.899891397862997e-05
2022-04-12,3.82980750955514e-05
2022-04-13,3.8933270231288994e-05
2022-04-14,3.8366297962640934e-05
2022-04-15,3.763758772535128e-05
2022-04-16,3.5931857819600176e-05
2022-04-17,3.576807051084734e-05
2022-04-18,3.492196226607165e-05
2022-04-19,3.6061187980146707e-05
2022-04-20,3.661144758171922e-05
2022-04-21,3.7576690305286505e-05
2022-04-22,3.789018678636736e-05
2022-04-23,3.817160640824966e-05
2022-04-24,3.804649231870279e-05
2022-04-25,3.732969439531832e-05
2022-04-26,3.6004672685020096e-05
2022-04-27,3.3816865566912005e-05
2022-04-28,3.228329184024995e-05
2022-04-29,3.118330370392417e-05
2022-04-30,3.061236156499898e-05
2022-05-01,2.94976444856214e-05
2022-05-02,2.9466796538872037e-05
2022-05-03,3.0372424542787915e-05
2022-05-04,3.1640480045291626e-05
2022-05-05,3.291557969687764e-05
2022-05-06,3.573275205509139e-05
2022-05-07,3.819219067851524e-05
2022-05-08,3.7561318204080024e-05
2022-05-09,3.803860209584407e-05
2022-05-10,3.32069891431039e-05
2022-05-11,3.215387807715352e-05
2022-05-12,3.236154763189531e-05
2022-05-13,2.8548235990219416e-05
2022-05-14,3.025470463838766e-05
2022-05-15,3.1152941582774155e-05
2022-05-16,3.2022489367842886e-05
2022-05-17,3.2030861770301065e-05
2022-05-18,3.254831902902751e-05
2022-05-19,3.225280654816555e-05
2022-05-20,3.1737627506260195e-05
2022-05-21,3.054408170173154e-05
2022-05-22,3.152936227582654e-05
2022-05-23,3.158646256328085e-05
2022-05-24,2.9774116389631185e-05
2022-05-25,3.3525652203921514e-05
2022-05-26,3.240330748322382e-05
2022-05-27,3.1556568139608595e-05
2022-05-28,3.208713990334979e-05
2022-05-29,3.270409660759329e-05
2022-05-30,3.243155313490688e-05
2022-05-31,3.228985010098222e-05
2022-06-01,3.171314677216705e-05
2022-06-02,3.143413370389917e-05
2022-06-03,2.9974351263086544e-05
2022-06-04,2.8377306722628466e-05
2022-06-05,2.6466351503823207e-05
2022-06-06,2.8298919833683752e-05
2022-06-07,2.7321297279643195e-05
2022-06-08,2.7274279635368734e-05
2022-06-09,2.7656250200961943e-05
2022-06-10,2.7664358181885523e-05
2022-06-11,2.7264655713836813e-05
2022-06-12,2.5238590852919425e-05
2022-06-13,2.558503351868791e-05
2022-06-14,2.5767796951729035e-05
2022-06-15,2.5693887343747528e-05
2022-06-16,2.6440851218068286e-05
2022-06-17,2.5561487078659047e-05
2022-06-18,2.7998192737823855e-05
2022-06-19,2.829959794574824e-05
2022-06-20,2.834752152738814e-05
2022-06-21,3.293265906851384e-05
2022-06-22,3.424566668390628e-05
2022-06-23,3.541819822019487e-05
2022-06-24,3.485793326289077e-05
2022-06-25,3.689024914712057e-05
2022-06-26,3.412178041667489e-05
2022-06-27,3.261592997048003e-05
2022-06-28,3.1614593188834674e-05
2022-06-29,3.3674165859083754e-05
2022-06-30,3.468287039070282e-05
2022-07-01,3.4311427478057364e-05
2022-07-02,3.490329347995343e-05
2022-07-03,3.356578022560705e-05
2022-07-04,3.363218866901992e-05
2022-07-05,3.268210051368547e-05
2022-07-06,3.214770855837756e-05
2022-07-07,3.173275439008178e-05
2022-07-08,2.9848235928776782e-05
2022-07-09,3.096722296380487e-05
2022-07-10,3.16727551225859e-05
2022-07-11,2.8403310405381776e-05
2022-07-12,2.8804156472029727e-05
2022-07-13,2.816099148926644e-05
2022-07-14,2.9714039799896415e-05
2022-07-15,2.9985728765393157e-05
2022-07-16,3.184531832408454e-05
2022-07-17,3.228579750973506e-05
2022-07-18,3.222417061333859e-05
2022-07-19,3.288344848441864e-05
2022-07-20,3.188180600268333e-05
2022-07-21,2.9082998083078015e-05
2022-07-22,2.894433812378093e-05
2022-07-23,2.6913741281660137e-05
2022-07-24,2.8923197193738214e-05
2022-07-25,2.9107681057765608e-05
2022-07-26,2.968440624528549e-05
2022-07-27,3.0155195769300454e-05
2022-07-28,3.0797591921520476e-05
2022-07-29,3.277426145401549e-05
2022-07-30,3.3270513547693714e-05
2022-07-31,3.3452770691835685e-05
2022-08-01,3.287188459403514e-05
2022-08-02,3.3000181619564754e-05
2022-08-03,3.185295773009619e-05
2022-08-04,3.148094652065066e-05
2022-08-05,3.36701207361985e-05
2022-08-06,3.477783321241587e-05
2022-08-07,3.5727694766916265e-05
2022-08-08,3.542184626640407e-05
2022-08-09,3.6028432934123015e-05
2022-08-10,3.5654145263807366e-05
2022-08-11,3.769532506510613e-05
2022-08-12,3.740811568941675e-05
2022-08-13,3.662874100621718e-05
2022-08-14,3.578615340717187e-05
2022-08-15,3.4574600218282856e-05
2022-08-16,3.263713325027513e-05
2022-08-17,3.280956612277777e-05
2022-08-18,3.2203423610285585e-05
2022-08-19,3.2085355127284244e-05
